InvoiceNo,Description,Quantity,UnitPrice,InvoiceDate,Country,CustomerID
917494,Webcam HD,10,39.99,2024-03-09 07:00:00,France,47819
831758,Noise Cancelling Headphones,7,120.0,2022-01-25 15:00:00,United Kingdom,28945
362676,Portable SSD,7,99.99,2024-03-13 14:00:00,Italy,29802
632218,Wireless Mouse,5,15.99,2023-10-07 02:00:00,United Kingdom,34147
928576,LED Monitor,9,150.0,2023-12-30 04:00:00,Belgium,82142
550577,Wireless Mouse,4,15.99,2023-01-10 22:00:00,Germany,92647
711638,Portable SSD,7,99.99,2023-12-02 15:00:00,Germany,93909
369759,USB-C Cable,1,7.99,2022-02-19 15:00:00,Italy,82079
920850,Laptop Stand,8,30.0,2022-01-30 11:00:00,United Kingdom,87852
900487,USB-C Cable,8,7.99,2024-09-06 11:00:00,United Kingdom,29666
124420,Bluetooth Speaker,10,45.0,2024-02-19 20:00:00,Netherlands,43310
308675,Laptop Stand,7,30.0,2024-04-15 20:00:00,United Kingdom,47743
622773,Mechanical Keyboard,3,85.0,2023-08-25 18:00:00,Netherlands,46490
618265,Laptop Stand,1,30.0,2023-05-07 17:00:00,France,80130
261899,LED Monitor,8,150.0,2022-06-08 22:00:00,United Kingdom,19342
492183,Laptop Stand,10,30.0,2024-02-13 21:00:00,Netherlands,20789
225121,Webcam HD,5,39.99,2023-07-13 09:00:00,Belgium,83033
919559,LED Monitor,3,150.0,2022-02-09 22:00:00,Belgium,87074
767551,Portable SSD,7,99.99,2022-04-09 16:00:00,United Kingdom,38071
820142,Bluetooth Speaker,9,45.0,2022-05-10 18:00:00,France,45268
448706,Bluetooth Speaker,9,45.0,2022-01-20 23:00:00,United Kingdom,17164
598513,Wireless Mouse,4,15.99,2022-11-27 14:00:00,Netherlands,26188
559897,Wireless Mouse,4,15.99,2024-12-01 00:00:00,Spain,98569
421500,LED Monitor,7,150.0,2024-02-01 21:00:00,Netherlands,88204
118841,LED Monitor,4,150.0,2023-04-10 22:00:00,Spain,53000
580188,Bluetooth Speaker,9,45.0,2022-01-09 08:00:00,Germany,54114
763617,Portable SSD,1,99.99,2022-02-27 11:00:00,Netherlands,32834
208786,Laptop Stand,10,30.0,2022-12-01 05:00:00,Germany,21764
984673,Smartwatch,2,199.99,2023-08-21 06:00:00,France,98414
712553,Laptop Stand,5,30.0,2022-06-13 10:00:00,Spain,76097
343929,USB-C Cable,2,7.99,2022-07-12 18:00:00,United Kingdom,22697
860114,LED Monitor,8,150.0,2022-04-16 10:00:00,France,79449
628142,Mechanical Keyboard,4,85.0,2023-08-28 02:00:00,Germany,84360
406947,Smartwatch,7,199.99,2023-04-11 19:00:00,France,26258
972171,Laptop Stand,6,30.0,2024-09-16 23:00:00,Germany,95809
723122,Smartwatch,5,199.99,2022-06-21 12:00:00,United Kingdom,16673
505075,Laptop Stand,9,30.0,2024-06-06 17:00:00,Italy,70149
846561,Mechanical Keyboard,4,85.0,2024-10-18 02:00:00,Italy,47160
530022,USB-C Cable,6,7.99,2024-02-02 10:00:00,Italy,22857
782303,Laptop Stand,4,30.0,2022-11-26 15:00:00,Germany,17297
670465,Webcam HD,8,39.99,2024-11-07 07:00:00,Belgium,97458
108795,Webcam HD,4,39.99,2024-06-04 16:00:00,United Kingdom,20965
133729,USB-C Cable,1,7.99,2023-01-29 14:00:00,Italy,40934
315812,Wireless Mouse,9,15.99,2024-03-24 02:00:00,Spain,51765
336197,USB-C Cable,3,7.99,2022-04-19 23:00:00,Belgium,92958
491041,LED Monitor,3,150.0,2022-10-04 13:00:00,United Kingdom,56153
295407,Noise Cancelling Headphones,3,120.0,2022-01-02 01:00:00,France,13207
848904,Mechanical Keyboard,10,85.0,2022-08-15 09:00:00,United Kingdom,39260
939642,Webcam HD,7,39.99,2024-12-16 22:00:00,United Kingdom,24892
471361,Smartwatch,10,199.99,2022-02-14 01:00:00,Italy,13824
667831,Smartwatch,1,199.99,2023-09-11 11:00:00,Belgium,45360
697427,USB-C Cable,7,7.99,2023-08-27 16:00:00,Italy,22336
351530,USB-C Cable,8,7.99,2022-03-24 16:00:00,Italy,75513
618558,Smartwatch,3,199.99,2022-09-11 03:00:00,Belgium,81665
825142,USB-C Cable,7,7.99,2022-08-31 05:00:00,Netherlands,27320
925858,Portable SSD,4,99.99,2023-11-01 18:00:00,Spain,82485
200697,Bluetooth Speaker,9,45.0,2024-11-24 21:00:00,Netherlands,91642
944336,Laptop Stand,2,30.0,2024-03-26 14:00:00,United Kingdom,64001
957493,Portable SSD,7,99.99,2024-08-13 13:00:00,Italy,38709
593913,LED Monitor,3,150.0,2022-06-22 11:00:00,Spain,48674
323783,Wireless Mouse,8,15.99,2023-09-29 11:00:00,France,97635
801868,Wireless Mouse,3,15.99,2022-12-20 23:00:00,France,52588
